year,sharpe,return,max_dd,trades,wins
2015,-1.7,-0.112,0.112,6,1
2016,0.0,0.0,0.0,0,0
2017,-0.79,-0.061,0.101,4,1
2018,-0.8,-0.03,0.0424,1,0
2019,0.0,0.0,0.0,0,0
2020,0.08,0.0016,0.1321,3,1
2021,0.1,0.0045,0.0983,7,2
2022,1.28,0.0879,0.0471,3,2
2023,-0.8,-0.0327,0.0448,3,2
2024,-0.36,-0.0293,0.0897,3,0
2025,2.07,0.0444,0.0042,1,1
2026,2.53,0.2188,0.0603,2,2
