lookbacks,rebalance,vol_window,train_sharpe,train_cagr,train_dd,test_sharpe,test_cagr,test_dd,full_sharpe,full_cagr,full_dd,full_vol,cost_drag
250,weekly,60,0.013,-0.0008,0.1355,0.528,0.0253,0.0909,0.202,0.0094,0.1355,0.0534,0.0006
250,weekly,120,-0.0,-0.0015,0.1237,0.457,0.0217,0.0903,0.169,0.0076,0.1237,0.0529,0.0005
250,monthly,60,-0.062,-0.005,0.17,0.346,0.016,0.0759,0.087,0.0032,0.17,0.0535,0.0006
250,monthly,120,-0.076,-0.0057,0.1565,0.306,0.0141,0.0832,0.065,0.002,0.1565,0.0533,0.0006
40/120/250,weekly,60,-0.186,-0.0094,0.1254,0.061,0.0017,0.102,-0.093,-0.0051,0.133,0.044,0.0008
40/120/250,weekly,120,-0.241,-0.0117,0.1368,0.002,-0.0008,0.1084,-0.148,-0.0074,0.1548,0.0438,0.0008
40/120/250,monthly,60,-0.162,-0.0082,0.1243,-0.076,-0.0042,0.1213,-0.129,-0.0066,0.1671,0.0441,0.0007
40/120/250,monthly,120,-0.181,-0.009,0.1223,-0.103,-0.0054,0.1268,-0.151,-0.0076,0.1713,0.0439,0.0007
