date,bid_open,bid_high,bid_low,bid_close,ask_open,ask_high,ask_low,ask_close,spread_close,volume
2007-01-03,1418.03,1429.42,1407.86,1416.63,1418.03,1429.42,1407.86,1416.63,0.0,0.0
2007-01-04,1416.6,1421.84,1408.22,1418.34,1416.6,1421.84,1408.22,1418.34,0.0,0.0
2007-01-05,1417.58,1417.58,1405.75,1409.71,1417.58,1417.58,1405.75,1409.71,0.0,0.0
2007-01-08,1409.26,1414.98,1403.97,1412.84,1409.26,1414.98,1403.97,1412.84,0.0,0.0
2007-01-09,1412.85,1415.61,1405.42,1412.11,1412.85,1415.61,1405.42,1412.11,0.0,0.0
2007-01-10,1411.94,1415.99,1404.33,1414.85,1411.94,1415.99,1404.33,1414.85,0.0,0.0
2007-01-11,1414.84,1427.12,1414.84,1423.82,1414.84,1427.12,1414.84,1423.82,0.0,0.0
2007-01-12,1423.66,1431.23,1422.58,1430.73,1423.66,1431.23,1422.58,1430.73,0.0,0.0
2007-01-16,1430.42,1433.93,1428.62,1431.9,1430.42,1433.93,1428.62,1431.9,0.0,0.0
2007-01-17,1431.77,1435.27,1428.57,1430.62,1431.77,1435.27,1428.57,1430.62,0.0,0.0
2007-01-18,1430.59,1433.3,1424.21,1426.37,1430.59,1433.3,1424.21,1426.37,0.0,0.0
2007-01-19,1426.35,1431.57,1425.19,1430.5,1426.35,1431.57,1425.19,1430.5,0.0,0.0
2007-01-22,1430.47,1431.39,1420.4,1422.95,1430.47,1431.39,1420.4,1422.95,0.0,0.0
2007-01-23,1422.78,1431.33,1421.66,1427.99,1422.78,1431.33,1421.66,1427.99,0.0,0.0
2007-01-24,1427.96,1440.14,1427.96,1440.13,1427.96,1440.14,1427.96,1440.13,0.0,0.0
2007-01-25,1440.12,1440.69,1422.34,1423.9,1440.12,1440.69,1422.34,1423.9,0.0,0.0
2007-01-26,1424.91,1427.27,1416.96,1422.18,1424.91,1427.27,1416.96,1422.18,0.0,0.0
2007-01-29,1422.03,1426.94,1418.46,1420.62,1422.03,1426.94,1418.46,1420.62,0.0,0.0
2007-01-30,1420.61,1428.82,1420.61,1428.82,1420.61,1428.82,1420.61,1428.82,0.0,0.0
2007-01-31,1428.65,1441.61,1424.78,1438.24,1428.65,1441.61,1424.78,1438.24,0.0,0.0
2007-02-01,1437.9,1446.64,1437.9,1445.94,1437.9,1446.64,1437.9,1445.94,0.0,0.0
2007-02-02,1446.72,1449.33,1444.49,1448.39,1446.72,1449.33,1444.49,1448.39,0.0,0.0
2007-02-05,1448.33,1449.38,1443.85,1446.99,1448.33,1449.38,1443.85,1446.99,0.0,0.0
2007-02-06,1446.98,1450.19,1443.4,1448.0,1446.98,1450.19,1443.4,1448.0,0.0,0.0
2007-02-07,1447.41,1452.99,1446.44,1450.02,1447.41,1452.99,1446.44,1450.02,0.0,0.0
2007-02-08,1449.99,1450.45,1442.81,1448.31,1449.99,1450.45,1442.81,1448.31,0.0,0.0
2007-02-09,1448.25,1452.45,1433.44,1438.06,1448.25,1452.45,1433.44,1438.06,0.0,0.0
2007-02-12,1438.0,1439.11,1431.44,1433.37,1438.0,1439.11,1431.44,1433.37,0.0,0.0
2007-02-13,1433.22,1444.41,1433.22,1444.26,1433.22,1444.41,1433.22,1444.26,0.0,0.0
2007-02-14,1443.91,1457.65,1443.91,1455.3,1443.91,1457.65,1443.91,1455.3,0.0,0.0
2007-02-15,1455.15,1457.97,1453.19,1456.81,1455.15,1457.97,1453.19,1456.81,0.0,0.0
2007-02-16,1456.77,1456.77,1451.57,1455.54,1456.77,1456.77,1451.57,1455.54,0.0,0.0
2007-02-20,1455.53,1460.53,1449.2,1459.68,1455.53,1460.53,1449.2,1459.68,0.0,0.0
2007-02-21,1459.6,1459.6,1452.02,1457.63,1459.6,1459.6,1452.02,1457.63,0.0,0.0
2007-02-22,1457.29,1461.57,1450.51,1456.38,1457.29,1461.57,1450.51,1456.38,0.0,0.0
2007-02-23,1456.22,1456.22,1448.36,1451.19,1456.22,1456.22,1448.36,1451.19,0.0,0.0
2007-02-26,1451.04,1456.95,1445.48,1449.37,1451.04,1456.95,1445.48,1449.37,0.0,0.0
2007-02-27,1449.25,1449.25,1389.83,1399.04,1449.25,1449.25,1389.83,1399.04,0.0,0.0
2007-02-28,1398.64,1415.89,1396.65,1406.82,1398.64,1415.89,1396.65,1406.82,0.0,0.0
2007-03-01,1406.8,1409.46,1380.87,1403.17,1406.8,1409.46,1380.87,1403.17,0.0,0.0
2007-03-02,1403.16,1403.4,1386.87,1387.17,1403.16,1403.4,1386.87,1387.17,0.0,0.0
2007-03-05,1387.11,1391.86,1373.97,1374.12,1387.11,1391.86,1373.97,1374.12,0.0,0.0
2007-03-06,1374.06,1397.9,1374.06,1395.41,1374.06,1397.9,1374.06,1395.41,0.0,0.0
2007-03-07,1395.02,1401.16,1390.64,1391.97,1395.02,1401.16,1390.64,1391.97,0.0,0.0
2007-03-08,1391.88,1407.93,1391.88,1401.89,1391.88,1407.93,1391.88,1401.89,0.0,0.0
2007-03-09,1403.49,1410.15,1397.3,1402.85,1403.49,1410.15,1397.3,1402.85,0.0,0.0
2007-03-12,1402.8,1409.34,1398.4,1406.6,1402.8,1409.34,1398.4,1406.6,0.0,0.0
2007-03-13,1406.23,1406.23,1377.71,1377.95,1406.23,1406.23,1377.71,1377.95,0.0,0.0
2007-03-14,1377.86,1388.09,1363.98,1387.17,1377.86,1388.09,1363.98,1387.17,0.0,0.0
2007-03-15,1387.11,1395.73,1385.16,1392.28,1387.11,1395.73,1385.16,1392.28,0.0,0.0
2007-03-16,1392.24,1397.51,1383.63,1386.95,1392.24,1397.51,1383.63,1386.95,0.0,0.0
2007-03-19,1387.78,1403.2,1387.78,1402.06,1387.78,1403.2,1387.78,1402.06,0.0,0.0
2007-03-20,1402.04,1411.53,1400.7,1410.94,1402.04,1411.53,1400.7,1410.94,0.0,0.0
2007-03-21,1410.92,1437.77,1409.75,1435.04,1410.92,1437.77,1409.75,1435.04,0.0,0.0
2007-03-22,1434.74,1437.66,1429.88,1434.54,1434.74,1437.66,1429.88,1434.54,0.0,0.0
2007-03-23,1434.19,1438.89,1433.21,1436.11,1434.19,1438.89,1433.21,1436.11,0.0,0.0
2007-03-26,1436.25,1437.65,1423.28,1437.5,1436.25,1437.65,1423.28,1437.5,0.0,0.0
2007-03-27,1437.49,1437.49,1425.54,1428.61,1437.49,1437.49,1425.54,1428.61,0.0,0.0
2007-03-28,1428.35,1428.35,1414.07,1417.23,1428.35,1428.35,1414.07,1417.23,0.0,0.0
2007-03-29,1417.17,1426.24,1413.27,1422.53,1417.17,1426.24,1413.27,1422.53,0.0,0.0
2007-03-30,1422.52,1429.22,1408.9,1420.86,1422.52,1429.22,1408.9,1420.86,0.0,0.0
