entry_date,exit_date,dir,entry,exit,units,pnl_jpy,r_multiple,reason
2026-04-08,2026-04-23,short,158.57,159.6661,27370.68,-30273.71,-1.009,stop
2026-04-23,2026-04-30,long,159.74,159.1703,36247.9,-21014.46,-0.722,stop
2026-04-30,2026-05-05,short,156.48,157.7708,22049.51,-28681.85,-1.008,stop
2026-05-06,2026-05-13,short,156.28,157.634,20384.0,-27804.74,-1.007,stop
2026-05-14,2026-07-02,long,158.31,161.8129,22966.01,80218.55,2.997,stop
2026-07-02,2026-07-06,short,161.05,161.7363,42509.04,-29598.4,-1.015,stop
2026-07-21,2026-07-22,long,163.14,163.1,42712.37,-2135.62,-0.076,end_of_test
