year,return,sharpe,max_dd
2015,0.1308,0.6,0.2368
2016,-0.2771,-1.07,0.3626
2017,0.5191,2.09,0.1023
2018,-0.2654,-1.02,0.4298
2019,-0.1062,-0.36,0.2071
2020,0.1389,0.61,0.252
2021,0.092,0.42,0.2026
2022,0.1582,0.69,0.2363
2023,-0.0156,0.02,0.1761
2024,0.3095,1.23,0.266
2025,0.3368,1.58,0.1564
2026,0.1937,1.26,0.1481
