year,sharpe,return,trades,wins
2015,0.58,0.061,4,2
2016,-0.98,-0.0079,0,0
2017,-1.03,-0.1147,4,0
2018,-0.53,-0.0873,3,0
2019,0.0,0.0,0,0
2020,1.63,0.0121,1,1
2021,1.46,0.1717,4,3
2022,1.1,0.1116,3,2
2023,0.21,0.0143,3,1
2024,-1.67,-0.0591,2,0
2025,-1.22,-0.0591,2,0
2026,3.16,0.0837,2,2
