entry_date,exit_date,dir,entry,exit,units,pnl_jpy,r_multiple,reason
2026-01-26,2026-02-04,long,210.834,214.856,15471.04,61760.39,2.059,target
2026-02-17,2026-04-13,long,207.912,215.008,20082.85,141905.4,4.455,target
2026-06-18,2026-06-30,long,213.121,215.605,29485.54,72357.52,2.004,target
