allow_short,entry_lookback,swing_target,swing_max_wick_atr,max_hold_days,train_sharpe,train_trades,train_winrate,test_sharpe,test_trades,test_winrate,full_sharpe,full_return,full_maxdd,full_trades,full_winrate
False,20,boundary,,15,-0.04,23,0.304,0.519,12,0.5,0.147,0.0969,0.1761,35,0.371
False,20,2r,,,-0.046,21,0.333,0.492,10,0.5,0.14,0.0911,0.1176,31,0.387
False,20,mid,,15,-0.186,23,0.391,0.532,12,0.583,0.037,0.0056,0.2012,35,0.457
True,20,boundary,,15,-0.236,39,0.256,0.316,14,0.429,-0.076,-0.1152,0.3844,53,0.302
False,20,2r,,15,-0.247,24,0.333,0.43,12,0.5,-0.012,-0.0313,0.1729,36,0.389
False,10,boundary,,,-0.267,35,0.286,0.456,24,0.5,0.012,-0.0461,0.3172,59,0.373
False,20,mid,,,-0.268,22,0.364,0.662,12,0.667,0.017,-0.0091,0.2219,34,0.471
False,10,mid,,,-0.272,39,0.41,0.373,30,0.633,-0.057,-0.0887,0.2614,69,0.507
False,10,mid,,15,-0.288,40,0.425,0.294,31,0.613,-0.087,-0.1071,0.2492,71,0.507
False,20,boundary,,,-0.322,21,0.238,0.828,12,0.583,0.101,0.0582,0.2406,33,0.364
False,10,boundary,,15,-0.324,38,0.316,0.245,27,0.481,-0.102,-0.152,0.3198,65,0.385
False,10,2r,,,-0.337,33,0.273,-0.017,18,0.333,-0.212,-0.2357,0.3378,51,0.294
True,20,2r,,,-0.368,37,0.27,0.266,12,0.417,-0.17,-0.1856,0.3387,49,0.306
True,20,mid,,15,-0.405,39,0.308,0.263,14,0.5,-0.22,-0.2018,0.4091,53,0.358
True,20,mid,,,-0.462,38,0.289,0.352,14,0.571,-0.238,-0.2205,0.4218,52,0.365
False,10,2r,,15,-0.483,38,0.289,0.148,28,0.393,-0.212,-0.2445,0.3945,66,0.333
True,20,2r,,15,-0.544,40,0.275,0.217,14,0.429,-0.308,-0.2705,0.3822,54,0.315
True,10,mid,,,-0.625,80,0.362,0.049,37,0.568,-0.425,-0.4629,0.5452,117,0.427
True,10,2r,,,-0.631,72,0.25,-0.293,25,0.28,-0.516,-0.5562,0.6155,97,0.258
True,10,mid,,15,-0.676,82,0.366,0.0,38,0.553,-0.472,-0.4818,0.5696,120,0.425
True,20,boundary,,,-0.681,36,0.167,0.624,14,0.5,-0.29,-0.3319,0.4901,50,0.26
True,10,boundary,,15,-0.693,78,0.282,-0.076,33,0.424,-0.486,-0.551,0.6332,111,0.324
True,10,2r,,15,-0.775,79,0.266,-0.032,35,0.371,-0.51,-0.5535,0.6316,114,0.298
True,10,boundary,,,-0.787,68,0.221,0.063,30,0.4,-0.509,-0.6082,0.7043,98,0.276
